GED2020_V1_00,GED2020_V1_00_NAME,GED2020_V1_00_NAME_ASCII,General_Electoral_Population,LAND_AREA_SQ_KM,AREA_SQ_KM
001,Auckland Central,Auckland Central,62919,485.846838956495390,5856.934282187950900
002,Banks Peninsula,Banks Peninsula,68134,1069.146623904308400,4310.407294388171100
003,Bay of Plenty,Bay of Plenty,64223,546.806067919749130,1588.404284690652000
004,Botany,Botany,65124,34.747084002470864,44.559406895731748
005,Christchurch Central,Christchurch Central,65571,31.561223530964092,31.561211545375944
006,Christchurch East,Christchurch East,63850,91.566022905281386,371.968735487967650
007,Coromandel,Coromandel,64568,4270.526700123984500,12015.181289896933000
008,Dunedin,Dunedin,67167,703.848753371496850,2203.379997424436600
009,East Coast,East Coast,66175,13813.820215802320000,25132.923190682282000
010,East Coast Bays,East Coast Bays,64635,46.781270008268869,119.301432083526690
011,Epsom,Epsom,62147,20.019317457395100,21.987394565069199
012,Hamilton East,Hamilton East,67683,40.372555537250413,40.372547687384241
013,Hamilton West,Hamilton West,67010,66.887403166791742,67.450996310862081
014,Hutt South,Hutt South,66564,337.600040876062110,984.563436138762650
015,Ilam,Ilam,67502,108.989029800921120,108.989029854191970
016,Invercargill,Invercargill,64992,10941.440212782192000,27917.139199158370000
017,Kaikōura,Kaikoura,64383,21651.090135093877000,33181.032708338971000
018,Kaipara ki Mahurangi,Kaipara ki Mahurangi,65280,2218.469959106965200,5756.219890263726500
019,Kelston,Kelston,62689,25.609316638217063,30.298712325447461
020,Mana,Mana,65980,314.098113378738670,1013.603654435991400
021,Māngere,Mangere,65515,56.373838464035195,155.138235392601730
022,Manurewa,Manurewa,66763,30.401837999629453,33.566043089414642
023,Maungakiekie,Maungakiekie,62072,28.781377335083103,31.142880578106642
024,Mt Albert,Mt Albert,64118,20.243064618303748,33.799381076245460
025,Mt Roskill,Mt Roskill,66303,20.697204353554817,23.308196723186480
026,Napier,Napier,63257,9482.599892183485300,14443.389825871502000
027,Nelson,Nelson,64019,525.684821225165140,1348.560235557779800
028,New Lynn,New Lynn,67217,302.052082546909330,952.897319006524190
029,New Plymouth,New Plymouth,66810,1017.094833178683900,3347.019086689677400
030,North Shore,North Shore,65331,23.965803234715175,72.489055648855839
031,Northcote,Northcote,65249,27.531646583817100,42.422227528176833
032,Northland,Northland,67803,11279.849962461845000,28892.838744030370000
033,Ōhāriu,Ohariu,62261,115.971109210100890,302.093132864936420
034,Ōtaki,Otaki,63263,1428.920705743353000,3031.037601094711600
035,Pakuranga,Pakuranga,62498,22.624465372581184,38.847192906147228
036,Palmerston North,Palmerston North,62127,46.234609483002238,46.234648730040242
037,Panmure-Ōtāhuhu,Panmure-Otahuhu,67234,29.557166473696046,35.420749307850279
038,Papakura,Papakura,61820,772.937099449006270,1007.394420526769400
039,Port Waikato,Port Waikato,61963,2180.139710670215700,3957.254485437540600
040,Rangitata,Rangitata,67816,6809.610761809664800,8827.065282264529700
041,Rangitīkei,Rangitikei,63668,12498.418967634087000,13252.061390839966000
042,Remutaka,Remutaka,67028,508.581736201965270,508.581747697620590
043,Rongotai,Rongotai,62897,820.880315332614370,13794.684591043380000
044,Rotorua,Rotorua,63585,2865.325439062582500,3075.248216526848900
045,Selwyn,Selwyn,62209,6410.927718221404600,6859.984578017452800
046,Southland,Southland,65088,31313.053158505096000,40282.013274128440000
047,Taieri,Taieri,65309,5636.348604575711800,7358.693608096572500
048,Takanini,Takanini,66306,45.138678320006441,49.461655631531286
049,Tāmaki,Tamaki,61742,25.180390029531242,42.070410026161149
050,Taranaki-King Country,Taranaki-King Country,63450,13052.665718442990000,17293.900354570611000
051,Taupō,Taupo,68078,8255.392811347070200,8886.195195320091400
052,Tauranga,Tauranga,66787,59.261257863643763,507.373905514792000
053,Te Atatū,Te Atatu,67421,29.643113872851011,40.167162746800301
054,Tukituki,Tukituki,66560,4285.018198699332100,6227.767709861467700
055,Upper Harbour,Upper Harbour,66240,33.107630758159793,41.042959753598815
056,Waikato,Waikato,64265,3491.336951966419700,3515.007657102477000
057,Waimakariri,Waimakariri,65942,1750.348949691909900,1997.545043721635900
058,Wairarapa,Wairarapa,64402,11860.099836619600000,18498.703954416447000
059,Waitaki,Waitaki,64983,30780.694072600862000,34719.194393148333000
060,Wellington Central,Wellington Central,64272,144.169806516829080,853.553304647546380
061,West Coast-Tasman,West Coast-Tasman,63677,32757.872835746050000,51026.066423209995000
062,Whanganui,Whanganui,64175,5765.642238126047200,8644.943018083786200
063,Whangaparāoa,Whangaparaoa,65847,186.287084551496090,448.117022993249240
064,Whangārei,Whangarei,67131,1229.435066636138300,3373.245382984529900
065,Wigram,Wigram,66396,46.107066881371871,46.107267079471377
